original_column_name,column_name,column_description,data_format,value_description
sentreg,,VARCHAR(50). Primary key for combined sentiment/fundamental snapshot.,character varying,
transref,,VARCHAR(50). Foreign‑key to TransactionRecord.TransReg.,character varying,
newsscore,,"NUMERIC(5,2). Normalised sentiment score from news feeds (e.g., 68.25).",numeric,
socscore,,"NUMERIC(5,2). Social‑media sentiment score (e.g., 54.90).",numeric,
anlycount,,"INT. Number of active analyst coverage reports (e.g., 12).",integer,
inholdpct,,"NUMERIC(5,2). Insider ownership percentage of the stock (e.g., 4.75).",numeric,
instownpct,,"NUMERIC(5,2). Institutional ownership percentage (e.g., 65.20).",numeric,
shortintrt,,"NUMERIC(7,4). Short‑interest ratio (days to cover, e.g., 2.3475).",numeric,
optvolrt,,"NUMERIC(7,4). Option volume ratio versus average (e.g., 1.1520).",numeric,
putcallrt,,"NUMERIC(7,4). Put‑to‑call volume ratio (e.g., 0.6425).",numeric,
impvolrank,,"NUMERIC(7,4). Implied‑volatility rank (0‑1 scale, e.g., 0.7831).",numeric,
unuoptact,,"unusual_option_activity_enum (enum: 'Moderate', 'High'). Degree of unusual option activity detected.",USER-DEFINED,
corpeventprx,,"corporate_event_proximity_enum (enum: 'Earnings', 'Restructuring', 'M&A'). Type of corporate event in close temporal proximity.",USER-DEFINED,
eventannotm,,"event_announcement_timing_enum (enum: 'Pre-market', 'Intraday', 'Post-market'). Timing of the relevant event announcement.",USER-DEFINED,
infoleaksc,,"NUMERIC(5,2). Information‑leakage suspicion score (e.g., 22.80).",numeric,
trdref2,,VARCHAR(50). Optional foreign‑key to Trader.TradeReg for analyst or insider reference.,character varying,
