original_column_name,column_name,column_description,data_format,value_description
compliancetrace,,SERIAL primary key uniquely identifying each compliance record.,integer,
risktie,,INT referencing RiskManagement(RiskTrace). Links compliance data to a specific risk record.,integer,
vendortie,,INT referencing VendorManagement(VendorTrace). Connects compliance info to a specific vendor record.,integer,
recordregistry,,CHAR(10) optionally referencing an older 'RecordID'. May be used for cross references.,character,
legalbase,,"VARCHAR(150) describing the legal basis for data processing (e.g., 'Consent', 'Legal Obligation'). Currently possible values: (Legal Obligation, Contract, Legitimate Interest, Consent).",character varying,
consentstate,,"VARCHAR(30) capturing the status of consent (e.g., 'Obtained', 'Revoked'). Currently possible values: (Not Required, Valid, Expired, Pending).",character varying,
consentcoll,,DATE indicating when user consent was collected.,date,
consentexp,,DATE indicating when that consent expires or needs renewal.,date,
purplimit,,"VARCHAR(300) specifying the purpose limitation or constraints (GDPR principle). Currently possible values: (General, Multiple, Specific).",character varying,
purpdesc,,"TEXT describing the purpose for data processing in detail. Currently possible values: (Business Operations, Research, Marketing, Compliance).",text,
gdprcomp,,"compliancelevel_enum enumerating GDPR compliance level. Currently possible values: (Partial, Non-compliant, Compliant).",USER-DEFINED,
ccpacomp,,"compliancelevel_enum enumerating CCPA compliance level. Currently possible values: (Compliant, Non-compliant, Partial).",USER-DEFINED,
piplcomp,,"compliancelevel_enum enumerating PIPL compliance level. Currently possible values: (Non-compliant, Partial, Compliant).",USER-DEFINED,
loclawcomp,,"compliancelevel_enum enumerating local law compliance. Currently possible values: (Non-compliant, Compliant, Partial).",USER-DEFINED,
regapprovals,,"VARCHAR(300) listing any regulatory approvals or licenses obtained. Currently possible values: (Obtained, Not Required, Pending).",character varying,
privimpassess,,"TEXT capturing the privacy impact assessment details or outcome. Currently possible values: (Completed, In Progress, Required).",text,
datasubjright,,"VARCHAR(40) describing data subject rights or status (access, erasure, portability, etc.). Currently possible values: (Partial, Fully Supported, Limited).",character varying,
