original_column_name,column_name,column_description,data_format,value_description
txregistry,,"Primary key (VARCHAR(30)) for each transaction (e.g., 'TX-abc123').",character varying,
rectag,,"A unique VARCHAR(30) record ID for external references (e.g., 'Record-90876').",character varying,
eventstamp,,"A TIMESTAMP capturing the transaction creation or logging time (e.g., '2025-03-01 12:00:00').",timestamp without time zone,
paymethod,,"An enum (PayMethod_enum) naming the payment type (Crypto_A, Crypto_B, Crypto_C, Token).",USER-DEFINED,
payamtusd,,"A NUMERIC(14,2) capturing the transaction’s total payment amount in USD (e.g., 10000.00).",numeric,
txfeeusd,,"A NUMERIC(10,2) for fees in USD (e.g., 15.50).",numeric,
escrowused,,"An enum (EscrowUsed_enum) indicating if escrow was used (Yes, No).",USER-DEFINED,
escrowhrs,,"A SMALLINT for how many hours funds remain in escrow (e.g., 72).",smallint,
multisigflag,,"An enum (MultiSigFlag_enum) capturing whether multi-signature was enabled (Yes, No).",USER-DEFINED,
txstatus,,"An enum (TxStatus_enum) showing transaction status (Pending, Cancelled, Completed, Disputed).",USER-DEFINED,
txfinishhrs,,"A NUMERIC(5,2) measuring how many hours until completion (e.g., 48.75).",numeric,
shipmethod,,"An enum (ShipMethod_enum) describing delivery approach (Express, Standard, Custom, Digital).",USER-DEFINED,
shipregionsrc,,"An enum (ShipRegionSrc_enum) for the source region (Region_A, Region_B, Region_C, Unknown).",USER-DEFINED,
shipregiondst,,"An enum (ShipRegionDst_enum) for the destination region (Region_X, Region_Y, Region_Z, Unknown).",USER-DEFINED,
crossborderflag,,"An enum (CrossBorderFlag_enum) stating if it's an international transaction (Yes, No).",USER-DEFINED,
routecomplexity,,"An enum (RouteComplexity_enum) describing shipping route complexity (Complex, Medium, Simple).",USER-DEFINED,
mktref,,FK referencing Markets(MktRegistry). Identifies which market the transaction occurred on.,character varying,
prodref,,FK referencing Products(ProdRegistry). Ties transaction to a product listing.,character varying,
buyref,,FK referencing Buyers(BuyRegistry). Specifies the buyer who initiated the transaction.,character varying,
