original_column_name,column_name,column_description,data_format,value_description
loccode,,VARCHAR(50). Location code for the return processing. PK. Example: LOC008.,character varying,
procprio,,"VARCHAR(50). Processing priority for the return. Possible values: Bulk, Express, Standard.",character varying,
procstate,,"ProcessingStatus_enum. Current state of the return processing. Possible values: Completed, Inspecting, Processing, Received.",USER-DEFINED,
proctime,,REAL. Time taken for processing the return. Example: 15.0.,real,
handreq,,"HandlingRequirements_enum. Handling requirements for the return. Possible values: Fragile, Hazardous, Special, Standard.",USER-DEFINED,
needsquar,,"VARCHAR(20). Indicates if quarantine is needed for the return. Possible values: No, Yes.",character varying,
quardays,,BIGINT. Number of days the return item will be quarantined. Example: 14.,bigint,
handling_notes,,TEXT. Notes related to the handling of the return item.,text,
dispaction,,"TEXT. Disposition action for the return item. Possible values: Refurbish, Repair, Resell, Scrap.",text,
dispreason,,"DispositionReason_enum. Reason for the return disposition. **NULL means no disposition reason provided.**. Possible values: Good Condition, Repairable, Too Costly, Unsalvageable.",USER-DEFINED,
needsrelabel,,"TEXT. Indicates if relabeling is required for the return item. Possible values: 0, 1, F, False, N, NO, P, True, Y, YES.",text,
repairfeas,,"RepairFeasibility_enum. Feasibility of repairing the return item. Possible values: High, Low, Medium, Not Feasible.",USER-DEFINED,
estrepairhrs,,REAL. Estimated hours required for repair. Example: 39.8.,real,
partsavail,,"PartsAvailability_enum. Availability of parts for repairing the return item. Possible values: Available, Partial, Unavailable.",USER-DEFINED,
policycomp,,"TEXT. Policy compliance status of the return item. Possible values: Compliant, Non-compliant.",text,
exceptmade,,"VARCHAR(20). Indicates if an exception was made for the return. Possible values: No, Yes.",character varying,
excepttype,,"ExceptionReason_enum. Type of exception for the return. **NULL means no exception type provided.**. Possible values: Customer Value, Error, Goodwill.",USER-DEFINED,
apprlevel,,"ApprovalLevel_enum. Level of approval required for processing the return. Possible values: Automatic, Manager, Supervisor.",USER-DEFINED,
