original_column_name,column_name,column_description,data_format,value_description
flowregistry,,Full name: 'Processing Record ID'. Explanation: Primary key for processing workflow. Data type: BIGSERIAL. Example: 8001.,bigint,
equipref,,Full name: 'Equipment Reference'. Explanation: Equipment ID used for processing. Data type: CHAR(10). Example: 'SN20065'.,character,
zoneref,,Full name: 'Site Reference'. Explanation: Site code for which processing applies. Data type: VARCHAR(12). Example: 'SC9016'.,character varying,
flowsoft,,"Full name: 'Processing Software'. Explanation: Name of the software used. Data type: VARCHAR(25). Possible categories: RealityCapture, CloudCompare, Agisoft.",character varying,
flowhrs,,"Full name: 'Processing Time (hours)'. Explanation: Time spent on processing. Data type: NUMERIC(5,2). Example: 21.9.",numeric,
proccpu,,Full name: 'CPU Usage (%)'. Explanation: CPU usage as an integer percentage. Data type: SMALLINT. Example: 81.,smallint,
memusagegb,,"Full name: 'Memory Usage (GB)'. Explanation: RAM usage during processing. Data type: NUMERIC(6,2). Example: 70.3.",numeric,
procgpu,,Full name: 'GPU Usage (%)'. Explanation: GPU usage as an integer percentage. Data type: SMALLINT. Example: 56.,smallint,
stashloc,,"Full name: 'Storage Location'. Explanation: Where processed data is stored. Data type: VARCHAR(12). Possible categories: Local, Network, Cloud.",character varying,
safebak,,"Full name: 'Backup Status'. Explanation: Indicates progress of data backup. Data type: CHAR(8). Possible categories: In Progress, Completed, Pending.",character,
datalevel,,"Full name: 'Data Access Level'. Explanation: Access restrictions or sharing level. Data type: TEXT. Possible categories: Confidential, Public, Restricted.",text,
metabench,,"Full name: 'Metadata Standard'. Explanation: Which metadata framework is applied. Data type: VARCHAR(10). Possible categories: Dublin Core, CIDOC CRM, Custom.",character varying,
coordframe,,"Full name: 'Coordinate System'. Explanation: Defines spatial reference frame. Data type: VARCHAR(12). Possible categories: Local, WGS84, Custom.",character varying,
elevref,,"Full name: 'Elevation Reference'. Explanation: Reference for altitude or elevation. Data type: VARCHAR(16). Possible categories: Arbitrary, Sea Level, Local.",character varying,
remaingb,,"Full name: 'Remaining Storage (GB)'. Explanation: Remaining disk or cloud space. Data type: NUMERIC(7,2). Example: 983.5.",numeric,
stationlink,,Full name: 'Total Station Integration'. Explanation: Indicates if total station integration is used. Data type: CHAR(6). Example: 'Yes'.,character,
camcal,,Full name: 'Camera Calibration Status'. Explanation: Whether camera calibration is completed or pending. Data type: TEXT. Example: 'Required'.,text,
lensdist,,"Full name: 'Lens Distortion Status'. Explanation: Whether lens distortion is corrected or unknown. Data type: VARCHAR(14). Possible categories: Corrected, Unknown.",character varying,
colortune,,"Full name: 'Color Balance Status'. Explanation: Indicates color adjustment requirement. Data type: CHAR(10). Possible categories: Required, Adjusted.",character,
flowstage,,"Full name: 'Processing Stage'. Explanation: Current stage of the processing workflow. Data type: VARCHAR(18). Possible categories: Aligned, Meshed, Final.",character varying,
fmtver,,"Full name: 'Export Format Version'. Explanation: Version tag for exported files. Data type: CHAR(3). Possible categories: 2.3, 2.7, 4.0, 1.1.",character,
