original_column_name,column_name,column_description,data_format,value_description
asd_key,,"A TEXT primary key uniquely identifying each social and diagnosis assessment record, linking to AssessmentBasics(AB_Key).",text,
rec_status,,"Patient's recovery status and stage in treatment. Contains values: 'Relapse', 'Stable', 'Advanced', 'Early'.",text,
prim_dx,,"Patient's primary mental health diagnosis. Contains values: 'Anxiety', 'PTSD', 'Bipolar', 'Schizophrenia', 'Depression'.",text,
sec_dx,,"Patient's secondary or comorbid mental health diagnosis. Contains values: 'OCD', 'Personality Disorder', 'Substance Use', 'Eating Disorder'. Contains NULL when secondary diagnosis is not applicable.",text,
dx_dur_m,,Duration of the primary diagnosis in months since initial onset or first diagnosis.,bigint,
prev_hosp,,Number of previous psychiatric hospitalizations or inpatient admissions for mental health treatment.,bigint,
last_hosp_dt,,"Date of the patient's last psychiatric hospitalization, stored as text with format yyyy/mm/dd like '2024/12/13', '2023/11/09', '2025/02/13' due to noise modifications.",text,
qol_scr,,Quality of Life score typically ranging from 1 to 100.,bigint,
func_imp,,"Functional impairment assessment. Contains values: 'SEVERE', 'MODERATE', 'severe', 'moderate', 'mild', 'Severe', 'Moderate', 'Mild'. Contains noise with mixed case variations like 'SeVerE', 'MODErate', 'SEVErE', 'mIld', 'MILD'. Contains NULL when functional impairment is not assessed.",text,
funcassess,,"JSONB column. Groups functional assessment metrics including work functioning, social functioning, ADL functioning, stress levels, coping skills, resilience, insight, and motivation into a comprehensive functional profile.
Fields: {""ADL_Func"":""Patient's ability to perform activities of daily living independently. Contains values: 'Minimal Help', 'Independent', 'Needs Help'."",""Cop_Skill"":""Assessment of the patient's coping skills and strategies. Contains values: 'Good', 'Poor', 'Fair'."",""Fam_Inv"":""Level of family involvement in the patient's treatment. Contains values: 'Low', 'High', 'Medium'. Contains NULL when family involvement is not assessed."",""In_Level"":""Patient's level of insight into their mental health condition. Contains values: 'Fair', 'Good', 'Poor'. Contains NULL when insight level is not assessed."",""Motiv_Level"":""Patient's motivation level for treatment and change. Contains values: 'High', 'Medium', 'Low'. Contains NULL when motivation assessment is not completed."",""Rel_Qual"":""Quality of the patient's interpersonal relationships. Contains values: 'Poor', 'Conflicted', 'Good', 'Fair'."",""Res_Scr"":""Resilience score rating typically ranging from 1 to 10."",""Soc_Func"":""Patient's level of social functioning in various settings. Contains values: 'Isolated', 'Fair', 'Good', 'Poor'."",""Soc_Sup"":""Level of social support available to the patient. Contains values: 'Strong', 'Limited', 'Adequate', 'Weak'. Contains NULL when social support is not evaluated."",""Strs_Lvl"":""Patient's current stress level rating typically ranging from 1 to 10."",""Work_Func"":""Patient's level of functioning in work or vocational activities. Contains values: 'Disabled', 'Poor', 'Good', 'Fair'.""}",jsonb,
