original_column_name,column_name,column_description,data_format,value_description
productnum,,A SERIAL primary key uniquely identifying each fund product in the database.,bigint,
tickersym,,"Unique ticker symbol for the fund as traded on exchanges (e.g., 'SPY', 'VTI', 'QQQ'). Must be unique across all records.",character varying,
shortlabel,,Abbreviated display name of the fund for user interfaces and brief references. Contains  NULL when short label is not available or fund uses only full description.,character varying,
fulldescription,,Complete official name and description of the fund including investment objective and strategy details. Contains  NULL when detailed description is not available or pending.,text,
parentgroup,,"Foreign key referencing families.GroupName, indicating which fund family or asset management company manages this fund.",character varying,
listingvenue,,"Foreign key referencing exchanges.MarketCode, indicating the primary exchange where the fund is listed and traded.",character varying,
productclass,,"Foreign key referencing categories.ClassType, indicating the fund's investment category classification.",character varying,
launchdate,,Date when the fund was first established and began operations (YYYY-MM-DD). Contains  NULL when launch date is not available or fund is in pre-launch phase.,date,
strategynotes,,"Detailed text description of the fund's investment strategy, objectives, and methodology. Contains  NULL when strategy notes are not available or not provided by fund management.",text,
fundclass,,"JSONB column. Consolidates fund classification and strategy information including geographic focus, investment strategy, market cap focus, and basic fund characteristics.
Fields: {""Cap_Size"":""Market capitalization focus (e.g., 'Large Cap', 'Mid Cap', 'Small Cap', 'Multi Cap') indicating the size of companies the fund invests in. Contains  NULL when fund does not focus on specific market cap sizes or invests in non-equity assets."",""Currency_Base"":""Base currency in which the fund is denominated and reports net asset value (e.g., 'USD', 'EUR', 'GBP'). Contains  NULL when currency information is not available."",""GeoZone_Class"":""Geographic region or market focus of the fund (e.g., 'US', 'International', 'Emerging Markets', 'Global'). Contains  NULL when geographic focus is not specified or fund has global diversification without specific regional focus."",""Quote_Mode"":""Trading quote type or mechanism (e.g., 'NAV', 'Market', 'Real-time') indicating how the fund is priced and quoted. Contains  NULL when quote mode is not specified or uses non-standard pricing mechanisms."",""Strategy_Type"":""Investment strategy classification (e.g., 'Index', 'Active', 'Passive', 'Smart Beta') describing the fund's management approach. Contains  NULL when strategy type is not classified or is proprietary/unique.""}",jsonb,
fundmetrics,,"JSONB column. Groups fundamental financial metrics and operational data including assets under management, yield rates, expense ratios, and turnover statistics.
Fields: {""Benchmark_Exp"":""Benchmark or category average expense ratio for comparison with similar funds in the same category. Contains  NULL when benchmark data is not available for comparison."",""Expense_Net"":""Net expense ratio (0-1) representing the annual fee charged to investors as a percentage of assets under management. Contains  NULL when expense ratio is not yet determined or not available."",""Net_Worth"":""Total net assets under management (AUM) for the fund in the base currency, representing the fund's total market value. Contains  NULL when AUM data is not available or not reported."",""Turnover_Ratio"":""Annual portfolio turnover ratio (0-1) indicating how frequently the fund's holdings are bought and sold within a year. Contains  NULL when turnover data is not available or not applicable (e.g., for newly launched funds)."",""Yield_Rate"":""Current dividend yield percentage (0-1) that the fund distributes to shareholders annually. Contains  NULL when fund does not pay dividends or yield data is not available.""}",jsonb,
tradingdata,,"JSONB column. Aggregates trading and market data including volume metrics and moving averages for technical analysis and liquidity assessment.
Fields: {""moving_averages"":{""MA_200"":""200-day moving average price of the fund, used for long-term trend analysis. Contains  NULL when fund has less than 200 days of trading history."",""MA_50"":""50-day moving average price of the fund, used for technical analysis and trend identification. Contains  NULL when insufficient price history exists for calculation.""},""volume_metrics"":{""Vol_3M"":""Average daily trading volume over the past 3 months, indicating liquidity and investor interest. Contains  NULL when volume data is not available or fund has insufficient trading history."",""Vol_Recent"":""Recent average daily trading volume over a shorter time period (typically 10 days). Contains  NULL when recent volume data is not available.""}}",jsonb,
allocweights,,"JSONB column. Contains asset allocation percentages and portfolio composition data including equity, bond weights and bond characteristics for portfolio analysis.
Fields: {""asset_allocation"":{""Bond_Weight"":""Percentage (0-1) of the fund's assets allocated to fixed-income securities (bonds). Contains  NULL when bond allocation data is not available or fund does not invest in bonds."",""Equity_Weight"":""Percentage (0-1) of the fund's assets allocated to equity securities (stocks). Contains  NULL when equity allocation data is not available or not applicable for fund type.""},""bond_characteristics"":{""Avg_Maturity"":""Average maturity in years of the fund's bond holdings, applicable for fixed-income funds. Contains  NULL when fund does not hold bonds or maturity data is not available."",""Duration_Yrs"":""Average duration in years of the fund's bond holdings, measuring interest rate sensitivity. Contains  NULL when fund does not hold bonds or duration data is not available.""}}",jsonb,
valuationratios,,"JSONB column. Consolidates fundamental valuation ratios for equity holdings including price-to-book, price-to-earnings, price-to-cash-flow, and price-to-sales ratios.
Fields: {""valuation_metrics"":{""PB_Ratio"":""Weighted average price-to-book ratio of the fund's equity holdings, indicating valuation characteristics. Contains  NULL when P/B ratio is not available or not applicable for fund's holdings."",""PCF_Ratio"":""Weighted average price-to-cash-flow ratio of the fund's equity holdings. Contains  NULL when P/CF ratio is not available or not applicable."",""PE_Ratio"":""Weighted average price-to-earnings ratio of the fund's equity holdings. Contains  NULL when P/E ratio is not available or holdings have negative earnings."",""PS_Ratio"":""Weighted average price-to-sales ratio of the fund's equity holdings. Contains  NULL when P/S ratio is not available or not applicable.""}}",jsonb,
