original_column_name,column_name,column_description,data_format,value_description
REC_ENF,,TEXT. Identifier linking enforcement actions to a market-condition set. PK. FK to market_conditions(REC_PIN).,text,
abuse_prob,,REAL. Probability that abusive activity occurred. **NULL means abuse probability not calculated.**. Example: 0.177.,real,
evid_pow,,"TEXT. Evidentiary strength supporting enforcement action. Possible values: Moderate, Strong, Weak.",text,
doc_stat,,"TEXT. Status of supporting documentation. Possible values: Complete, Incomplete, Partial.",text,
act_taken,,"TEXT. Enforcement action taken. **NULL means no action recorded.**. Possible values: Restriction, Suspension, Warning.",text,
esc_lvl,,"TEXT. Escalation level applied to the case. **NULL means escalation level not set.**. Possible values: Compliance, Legal, Supervisor.",text,
legal_state,,"TEXT. Current legal-proceeding state. **NULL means legal case state not recorded.**. Possible values: Active, Pending.",text,
settle_state,,"TEXT. Settlement state of the enforcement action. **NULL means settlement state unknown.**. Possible values: Negotiating, Settled.",text,
rep_impact,,"TEXT. Reputational impact assessment. Possible values: Minimal, Moderate, Severe.",text,
biz_restrict,,"TEXT. Business-restriction imposed (if any). **NULL means business restriction not documented.**. Possible values: Full, Partial.",text,
rem_status,,"TEXT. Remediation-status update. Possible values: Completed, Not Required, Pending.",text,
sys_need,,"TEXT. Required system changes identified. Possible values: Major, Minor, No.",text,
policy_need,,"TEXT. Required policy changes identified. Possible values: No, Urgent, Yes.",text,
train_req,,"TEXT. Mandatory training requirement specified. **NULL means training requirement not specified.**. Possible values: Comprehensive, Refresher.",text,
report_state,,"TEXT. Reporting-obligation state. Possible values: Automated, Hybrid, Manual.",text,
retain_stat,,"TEXT. Data-retention status. **NULL means retention status not indicated.**. Possible values: Archived, Current, Deleted.",text,
audit_stat,,"TEXT. Audit-status indicator. Possible values: Complete, Missing, Partial.",text,
conf_lvl,,"TEXT. Confidence level in enforcement findings. **NULL means confidence level not assigned.**. Possible values: Highly Sensitive, Normal, Sensitive.",text,
access_res,,"TEXT. Access-restriction outcome after enforcement. Possible values: Internal, Public, R.",text,
share_state,,"TEXT. Data-sharing state following enforcement. Possible values: Allowed, Limited, Prohibited.",text,
enf_actions,,"JSONB column. Enforcement actions including penalties and resolutions.
Fields: {""pen_amt"":""REAL. Monetary amount of the penalty imposed. Example: 290459.21."",""pen_flag"":""TEXT. Indicator that a penalty was imposed. **NULL means penalty flag not decided.**. Possible values: Ban, Fine, Warning."",""res_state"":""TEXT. Resolution state of the enforcement case. Possible values: In Progress, Pending, Resolved.""}",jsonb,
